                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6771,                 1.4385,                 1.7752,                0.75288,                0.68702,                0.73004,                0.33292,                 1.9054,                 1.2334,                 1.9937,              0.0075698,              0.0075698,              0.0075698
                     35,                 1.6797,                 1.4343,                 1.7753,                0.74794,                0.73421,                0.74033,                0.34287,                 1.9149,                 1.1586,                 1.9564,              0.0074347,              0.0074347,              0.0074347
                     36,                 1.6695,                 1.4388,                 1.7687,                  0.637,                0.78147,                0.72621,                0.34067,                 1.9285,                 1.2326,                 1.9868,              0.0072973,              0.0072973,              0.0072973
                     37,                 1.6739,                 1.4217,                 1.7664,                0.76085,                0.75376,                0.77773,                0.36379,                 1.8893,                 1.1441,                 1.9365,              0.0071576,              0.0071576,              0.0071576
                     38,                 1.6723,                 1.4239,                 1.7731,                0.74148,                0.71283,                0.73832,                0.33776,                 1.9172,                 1.2223,                 1.9693,              0.0070159,              0.0070159,              0.0070159
                     39,                 1.6686,                 1.3951,                 1.7623,                0.72536,                 0.7425,                0.73837,                0.35063,                 1.9161,                 1.2469,                 1.9645,              0.0068722,              0.0068722,              0.0068722
                     40,                 1.6696,                  1.407,                 1.7642,                0.74558,                0.74935,                0.75737,                0.37015,                 1.8554,                 1.1522,                 1.9372,              0.0067268,              0.0067268,              0.0067268
                     41,                 1.6605,                 1.3984,                 1.7691,                0.72379,                0.76679,                  0.762,                 0.3649,                 1.8647,                 1.1654,                 1.9402,              0.0065796,              0.0065796,              0.0065796
                     42,                 1.6569,                 1.3956,                 1.7592,                0.67116,                0.74425,                0.74244,                0.35423,                 1.8804,                 1.1445,                 1.9435,               0.006431,               0.006431,               0.006431
                     43,                 1.6588,                 1.3821,                 1.7507,                0.69102,                0.76624,                0.74359,                0.35998,                 1.8724,                 1.1778,                 1.9267,               0.006281,               0.006281,               0.006281
